Theme,Author/Year,Title,Venue,Year,Cited by,OA status,URL,Problem,Method,Algorithm,Main Result,Limitation,Research Gap,Relevance to my research,Decision,Full text needed
T1,2012,Learning-based Query Performance Modeling and Prediction,-,2012,216,closed,https://doi.org/10.1109/icde.2012.64,Can learned models predict query latency better than analytical cost models?,"Plan-level and operator-level learned models, plus a hybrid, static features only",,Learned models outperform analytical cost models for latency; hybrid trades accuracy for generality,Contradicted by the 2013 calibration work; static/dynamic split,The pro-ML pole of the debate Option B would be entering,Defines the debate FinCluster's RQ1 sits inside. FinCluster's result lands on the anti-ML side.,INCLUDE,YES
T1,2013,Predicting query execution time: Are optimizer cost models really unusable?,-,2013,156,closed,https://doi.org/10.1109/icde.2013.6544899,Is ML necessary to predict query execution time?,Calibrated optimizer cost model vs published ML predictors; cardinality refinement,,A properly calibrated analytical cost model is competitive with and often better than the best reported ML results,Database queries only; needs optimizer internals; no synthetic-generator analysis,"Establishes that a non-ML baseline can beat ML at execution-time prediction, but on a genuinely hard task","STRONGEST PRIOR AGAINST OPTION B. The headline claim of Option B is already made here, in 2013, at ICDE.",INCLUDE,YES
T1,2012,Robust estimation of resource consumption for SQL queries using statistical techniques,Proceedings of the VLDB Endowment,2012,120,closed,https://doi.org/10.14778/2350229.2350269,Do statistical resource-estimation models generalise beyond their training workload?,"Statistical models for SQL resource consumption, tested for robustness",,Proposed approaches lack robustness and do not generalise well to unseen queries,Resource consumption rather than wall-clock service time,Generalisation failure of learned performance models is documented,"Relevant to the leakage/generalisation argument, and to why grouped splitting matters.",INCLUDE,NO
T1,2013,Towards predicting query execution time for concurrent and dynamic database workloads,Proceedings of the VLDB Endowment,2013,90,closed,https://doi.org/10.14778/2536206.2536219,Predicting execution time for dynamic concurrent workloads,"Optimizer cost model plus queueing and buffer-pool model, compared against an ML variant",,Analytic modelling gives competitive and often better accuracy than the ML counterpart,Database-specific; assumes optimizer cost model is available,Second independent demonstration that analytical models beat ML here,"SECOND STRONGEST PRIOR AGAINST B. Also a precedent for queue modelling, so partly supports C.",INCLUDE,YES
T1,2014,A Machine Learning Approach to SPARQL Query Performance Prediction,2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT),2014,41,closed,https://doi.org/10.1109/wi-iat.2014.43,SPARQL query performance prediction without data statistics,"Query feature vectors, k-NN regression and nu-SVR",,Accurate prediction without underlying RDF statistics,Linked Data setting,Feature-vector framing of queries,Another instance of the same comparison template; supports the crowding argument.,INCLUDE,NO
T1,2014,Uncertainty aware query execution time prediction,Proceedings of the VLDB Endowment,2014,34,closed,https://doi.org/10.14778/2733085.2733092,Point predictions hide prediction uncertainty,Treats selectivities and cost constants as random variables to infer an error distribution,,Estimated prediction errors correlate strongly with actual errors,Cost-model dependent,Uncertainty reporting is established practice that FinCluster does not yet do,"Methodological gap in FinCluster: only point MAE/RMSE are reported, no uncertainty.",INCLUDE,NO
T1,2012,"Same Queries, Different Data: Can We Predict Runtime Performance?",-,2012,32,closed,https://doi.org/10.1109/icdew.2012.66,Predicting runtime for fixed query sets over varying input data,Per-segment ML estimates composed into a global analytical model,,Under 25 percent error for 90 percent of predictions using minimal input statistics,MapReduce-specific; fixed dataflows,Fixed-workload/varying-data setting is close to FinCluster's fixed-processor/varying-transaction setting,Structurally the closest analogue to the FinCluster experimental design.,INCLUDE,NO
T1,2019,Quick Execution Time Predictions for Spark Applications,-,2019,28,closed,https://doi.org/10.23919/cnsm46954.2019.9012752,Fast execution-time estimates for Spark applications under varying resources,Lightweight predictive models over executor cores and data size,,Enables schedulers to configure applications for a target execution time,Spark-specific,"Resource-count as an input feature, analogous to FinCluster's node profile",Parallel to FinCluster's node_profile feature; useful for framing node capacity as a predictor.,INCLUDE,NO
T1,2014,Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction,-,2014,24,green,https://doi.org/10.5441/002/edbt.2014.11,Predicting query performance under concurrency,Resource-contention modelling with Concurrent Query Intensity metrics; low training requirement,,Effective predictions for both static and dynamic concurrent workloads,Analytical workloads; no learned routing policy,Concurrency-aware performance prediction predates FinCluster's queue-aware idea,IMPORTANT FOR OPTION C. Prior art for predicting under contention rather than in isolation.,INCLUDE,YES
T1,2024,Stage: Query Execution Time Prediction in Amazon Redshift,-,2024,24,gold,https://doi.org/10.1145/3626246.3653391,Production execution-time prediction with cold-start and drift problems,"Predictor deployed in Amazon Redshift for admission, scheduling, resource control",,Addresses cold start and robustness against workload/data change,Proprietary system; database domain,"Shows the task is live and unsolved in production, not a toy problem","Evidence that execution-time prediction has real operational value - supports the premise, not the novelty.",INCLUDE,YES
T1,2020,Runtime prediction of high-performance computing jobs based on ensemble learning,-,2020,16,closed,https://doi.org/10.1145/3407947.3407968,Predicting HPC job runtime for backfill scheduling,Ensemble learning over job logs from three real HPC systems,,LightGBM gives higher accuracy and faster computation than compared models,Log-based; user-supplied estimates are biased,Model-comparison studies on real logs are standard and well populated,Shows the model-comparison genre is saturated - reinforces that Option B's RQ1 form adds little.,INCLUDE,NO
T1,2021,PREP: Predicting Job Runtime with Job Running Path on Supercomputers,-,2021,10,closed,https://doi.org/10.1145/3472456.3473521,"User-supplied runtime estimates are overestimated, harming backfilling",Job running path features from historical logs,,Improves runtime prediction over prior log-feature approaches,Supercomputer scheduling context,Prediction feeding a scheduling decision,Precedent for the prediction-then-scheduling pipeline FinCluster proposes.,INCLUDE,NO
T1,2022,Execution Time Prediction for Cypher Queries in the Neo4j Database Using a Learning Approach,Symmetry,2022,8,gold,https://www.mdpi.com/2073-8994/14/1/55/pdf?version=1641028315,Execution time prediction for graph queries,Learned model over Cypher query features on Neo4j,,SQL-oriented QPP methods do not transfer directly to Cypher,Single database engine,Shows QPP methods are re-derived per engine,Demonstrates the field's habit of re-running the same comparison in a new setting - which is what Option B risks being.,INCLUDE,NO
T1,2015,Application of Machine Learning Algorithms for the Query Performance Prediction,Advances in Electrical and Computer Engineering,2015,8,gold,https://doi.org/10.4316/aece.2015.03005,Relationship between system load/throughput and query response time in OLTP,ML algorithms over a real OLTP system,,Load and throughput are central to response time in short-transaction systems,Single production system,Load-dependence of response time in transactional systems,"DIRECTLY SUPPORTS OPTION C: in real transaction systems, response time is driven by load, not just transaction content.",INCLUDE,NO
T2,2015,"KVM, Xen and Docker: A performance analysis for ARM based NFV and cloud computing",-,2015,62,closed,https://doi.org/10.1109/aieee.2015.7367280,Performance comparison of virtualisation and container technologies,"Benchmark suite across KVM, Xen, Docker on ARM",,Quantifies container versus hypervisor overhead,ARM/NFV specific; dated,Container overhead characterisation is long established,Background for why container measurement needs care; not a novelty threat.,INCLUDE,NO
T2,2020,Rusty: Runtime Interference-Aware Predictive Monitoring for Modern Multi-Tenant Systems,IEEE Transactions on Parallel and Distributed Systems,2020,55,closed,https://doi.org/10.1109/tpds.2020.3013948,Predicting workload sensitivity to interference in multi-tenant containers,Runtime observability and forecasting of interference effects,,Finer-grained interference modelling than prior coarse-grained approaches,No controlled ground-truth measurement protocol,Interference prediction is mature; controlled measurement of it is less so,Nearest neighbour on the systems side; shows the community FinCluster should target.,INCLUDE,YES
T2,2015,CloudScope: Diagnosing and Managing Performance Interference in Multi-tenant Clouds,-,2015,50,closed,https://doi.org/10.1109/mascots.2015.35,Lightweight diagnosis of interference in multi-tenant clouds,Discrete-time Markov chain model of interference,,Interference diagnosis without heavy micro-benchmarking or online training,"VM-level, pre-container era",Analytical interference modelling precedent,Shows analytical modelling is a live alternative to ML in this domain too.,INCLUDE,NO
T2,2015,Evaluating the impact of fine-scale burstiness on cloud elasticity,-,2015,14,closed,https://doi.org/10.1145/2806777.2806846,Does fine-scale workload burstiness change measured elasticity?,Workload models reproducing empirical burstiness; experimental case study,,Fine-scale burstiness materially affects elasticity measurements,Elasticity rather than service time,Benchmark realism affects measured outcomes,Supports the general argument that generator design determines measured results - conceptually adjacent to FinCluster's finding.,INCLUDE,NO
T2,2022,Machine Learning based Interference Modelling in Cloud-Native Applications,-,2022,7,closed,https://doi.org/10.1145/3489525.3511677,Predicting interference before co-locating containers,ML models over co-located container workloads,,Interference level can be predicted before sharing a VM,"Prediction target is interference, not service time",Pre-placement prediction is established,"Close to FinCluster's routing premise, using interference instead of service time.",INCLUDE,NO
T2,2023,Performance interference of co-allocated applications: a systematic literature review,Research Square,2023,2,green,https://www.researchsquare.com/article/rs-3243462/latest.pdf,Systematic review of performance interference in co-allocated applications,Systematic literature review of prediction/analysis techniques and input metrics,,"Maps the techniques, metrics and tools used across the field","Review, not primary evidence",Provides the field map FinCluster's related-work section needs,Best single entry point for positioning FinCluster in the systems literature.,INCLUDE,YES
